action_date,users,unlock_users,trial_users
2019-09-11,1894,184,1
2019-09-12,3915,651,4
2019-09-13,4315,732,13
2019-09-14,5096,949,19
2019-09-15,6321,1103,23
2019-09-16,6520,1184,25
2019-09-17,3563,413,5
2019-09-18,3693,349,11
2019-09-19,8292,1427,27
2019-09-20,9625,1659,39
2019-09-21,10693,1944,33
2019-09-22,10692,2041,30
2019-09-23,10752,2196,32
2019-09-24,5259,738,12
2019-09-25,5219,615,7
2019-09-26,12359,2239,40
2019-09-27,13499,2455,34
2019-09-28,14433,2804,47
2019-09-29,15121,3225,47
2019-09-30,13817,3051,51
2019-10-01,5896,851,7
2019-10-02,5812,657,13
2019-10-03,7618,974,21
2019-10-04,16544,3077,48
2019-10-05,18887,3754,57
2019-10-06,20152,4199,70
2019-10-07,19717,4289,68
2019-10-08,8289,1426,28
2019-10-09,8705,1237,27
2019-10-10,22050,4923,71
2019-10-11,22778,5469,66
2019-10-12,21947,5529,71
