user_pseudo_id,user_converted_to_trial,read_an_answer_sum
Rgkf9DWtzMHQv4iKgjDhftiyPbc=,0,51
UgwjaLdh6XNsqB8dOxEmt6zHrBQ=,0,403
vXo64eC6/XfDpWWAngTex9zJ4Qs=,0,35
KyzNY8sC4ex1LEL9H9y3QO1VRKw=,0,33
dLz+jCeLxtCRdC2+wUUWlB/DW4E=,0,68
4c6TeuFMY9rr9tdD/aESgPMrwRQ=,1,34
lXVyjM55t6fM79KByGphqumWA3s=,0,30
fn5maBpTVPV6MirVIRgG4tmKhUM=,0,47
dJ702A4TT1VLzLbbighbP93V4eY=,0,34
9pXjhZ+jST/ZxXEBr22feITLFRg=,0,64
E9iyt02jyg3+cmHeNIO7Vs9HpiE=,0,49
5QzHZt5iOHIQLPsgTxuNxci0IEw=,0,416
CmYB1r/OUMTE90bQ9hh6UhJVvNs=,0,35
n3azeNPt8M0Ed/g7yBM4YXQrsT4=,0,52
UAGge0aY9wxn4SY0Cgk9+us+MpQ=,0,28
UkOG3TAdZDs8canVUCYFfuOEyFE=,0,40
REQE8Jv+cfiIKlFaVoKyuIzWcjk=,0,28
O9YLPJrvbPmvrnrBBeEKbIGcTJ0=,0,109
l0Vgh5ORNUpoq64GzhJ47qb3mt4=,0,46
peu/J+qv5BU/JGJQGwB1KpcjIfk=,0,49
QZXFpyj2jwcYpVs1OqHaRShUFxk=,0,55
BgvHWv/n12OaOWekKRv4NrOiDXk=,0,38
LryiBjMCBd+UkYaoT9vpwdS2oUU=,0,33
6fgCT0HtRRuZwjjGlEHhovNdJCI=,0,59
DlMMJw1BuhwqO6IpMBOheO4PuX8=,0,28
xm4epsfGlaEh9Trr9NtwYzsKkzw=,0,37
2RK2K6n93S8pETIasxeaeklRc48=,0,59
Gy88Nj2sZIaGtMskBKG00/MLBO0=,0,40
3kiodJ8PoBV1h/CSjGAkHFOLeaY=,1,31
9bGOHqj2ayVPoCd6dTqTLanB+Ow=,0,379
BZiIrrbrW64WaHavuxmvzFX+8c4=,0,31
GdJ9P/Fhrlpba1cG5V8/URZvjks=,0,28
VzETEcNn9IqcXsf3zDj+VKJwEJY=,0,40
D+R2U4fN1L5FvRhiU0Ap0U38DuU=,0,36
bA3OifyRRLogbHOpF2DPQWbwAaM=,0,107
yZrm8OjQi1GImzktX5tJmwydDbg=,0,36
6ycR4eHvmmKryFWa24sIYO/cKzk=,0,50
T5MElB9NXj0rlKNOwSqi8wk3zQ8=,0,33
rDE0ZVlMigcLnLY/awOA73aFr5k=,0,41
18tPXJR0Clsk3NWL82lNuFuuaII=,0,155
wgtwY8dFhDey1rdKyt93Xxqor6g=,0,28
dKKHh32AYt4DkEEHLb/8bLybRwg=,0,60
qj4LpWKMQpZx5fvOVDgYObGkbl4=,0,28
2tGi5zqzj1Dryek2h6bVrJIpvpc=,0,28
3J2AN7jAGM2hGHIS5XQ/QzxImwc=,0,43
upO/X66e2ciZigtAnD7fkNScz7A=,0,111
utjJCv/x+zPnLXtDsZAQYemoVSE=,0,54
Z5rfPOFA8CHGeHMp8uwL0nf+2Kc=,0,31
ZdBZo6Bp0shYJ6cgW5Ato7Wc7m4=,0,28
XiWkh02upq9m2RFjgeByBD2F8RI=,0,403
shgQ2OWrmnoGWx+aEzGeX4nZs/I=,0,88
sePC/PF8ACFZtfkGYmwNwsCpdZc=,0,31
eO7tZ1FUqK9fgkaPQtWygQZGAWk=,1,100
UmiroXuS+I7/P8o3SWnbv7YKaaw=,0,34
g8do1aSFGqS0D+pzAvRjelxs0Lc=,0,79
